epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,319.625,4.99949,6.54645,2.3294,0.00528,0.06137,0.00361,0.0007,5.65981,8.91217,2.06653,0.00025,0.00025,0.00025
2,621.943,4.47117,3.46709,2.10057,0.03302,0.19444,0.19118,0.03966,6.01543,8.37093,2.29082,0.00045951,0.00045951,0.00045951
3,915.44,4.27644,3.12167,2.03496,0.05588,0.45607,0.34738,0.15618,4.98458,6.91398,1.82846,0.00061754,0.00061754,0.00061754
4,1214.79,4.17358,2.83482,2.01961,0.69343,0.28052,0.24501,0.09073,5.99744,5.40966,1.96163,0.000703,0.000703,0.000703
